user,gender,age,occupation,zipcode
3876,F,1,10,48067
2316,M,56,16,70072
4135,M,25,15,55117
5756,M,45,7,02460
1906,M,25,20,55455
3364,F,50,9,55117
4943,M,35,1,06810
2046,M,25,12,11413
2656,M,25,17,61614
421,F,35,1,95370
2593,F,25,1,04093
5635,M,25,12,32793
2602,M,45,1,93304
5841,M,35,0,60126
1603,M,25,7,22903
5590,F,35,0,20670
1287,M,50,1,95350
1014,F,18,3,95825
1182,M,1,10,48073
5452,M,25,14,55113
5961,M,18,16,99353
1203,M,18,15,53706
1030,M,35,0,90049
2085,F,25,7,10023
3251,M,18,4,01609
833,M,25,7,23112
3634,M,25,11,19130
2639,F,25,1,14607
2792,M,35,7,33407
4600,F,35,7,19143
2460,M,56,7,06840
4267,F,25,0,19355
619,M,45,3,55421
1841,F,18,0,02135
1576,M,45,1,02482
560,M,25,3,94123
4329,F,25,9,66212
2775,F,18,4,02215
4091,M,18,4,61820
3131,M,45,0,10543
5891,F,18,4,15116
1121,M,25,8,24502
5504,M,25,12,60614
1664,M,45,17,98052
1387,F,45,16,94110
4821,M,18,19,75602
5633,M,18,4,94305
279,M,25,4,92107
2583,M,18,12,77084
4702,F,25,2,98133
4489,F,1,10,10562
3405,M,18,4,72212
112,M,25,0,96931
4490,M,50,1,56723
5296,F,35,12,55303
3695,M,35,20,60440
4402,M,18,19,30350
395,M,25,2,30303
1336,F,50,1,55413
3950,M,50,1,72118
5281,M,25,17,95122
302,F,35,3,98105
3277,M,18,4,54902
5290,M,18,1,53706
2315,M,35,12,55803
5674,M,25,18,57706
3630,F,50,5,60181
3693,M,18,4,53706
3729,F,25,1,02143
4220,M,18,4,53703
5126,M,25,14,95008
4753,F,45,0,55122
1234,M,18,4,53706
4434,M,35,14,94530
1663,F,1,10,01748
3026,M,35,7,55413
5334,M,18,4,15321
2142,F,45,1,98029
5127,F,45,0,98103
4221,M,56,1,49327
3043,F,25,0,60640
2326,M,25,17,48380
3151,F,25,2,94609
5421,M,18,4,53140
5333,M,18,4,94945
4137,F,1,10,54467
5004,M,25,14,48360
3600,F,45,1,02476
6010,F,56,9,85749
1248,M,56,13,85749
4263,M,35,7,07650
1038,F,18,4,44243
1885,M,25,17,95825
5675,M,25,17,28601
2880,M,45,0,98201
3218,F,25,16,78028
1760,F,35,3,66210
5893,F,35,7,33547
3148,F,1,10,19390
3731,M,35,17,95401
2493,F,18,3,33314
3017,M,35,19,20871
2464,M,45,7,92104
4648,M,25,12,00926
3694,M,45,12,90277
4162,F,35,11,79101
2243,M,45,18,63129
5202,M,25,12,30316
3064,M,45,15,92028
3656,M,25,2,90803
2889,M,35,15,55416
3793,M,25,16,97209
3753,M,18,12,37032
2886,F,25,2,83712
4771,M,25,17,28083
3128,M,25,17,55744
370,M,25,17,33314
1171,M,35,17,22315
2726,F,1,10,77515
3797,M,25,11,27106
3383,M,35,7,75229
4575,F,18,4,94305
206,M,35,9,67208
5503,M,56,7,91356
3334,M,45,14,01701
4375,M,18,9,98117
1638,F,45,3,01770
5639,M,56,6,37922
1833,M,25,11,20164
2176,M,35,17,50021
1090,M,18,4,06520
2991,M,25,17,99709
1844,F,25,0,55071
2644,M,25,0,66212
3952,M,18,4,20006
1003,M,18,2,21202
1358,F,45,6,78758
3520,M,18,20,22203
1135,F,25,20,45409
4072,F,35,1,55107
5687,M,35,13,62035
4544,M,25,7,10011
3711,M,18,3,64043
5422,M,25,17,29401
5213,M,18,4,19081
481,F,35,20,10954
1705,M,18,4,91360
171,M,50,17,57747
189,M,25,1,29205
1124,M,35,7,98144
365,F,25,20,85013
5588,M,18,4,48104
5591,M,1,10,51537
4909,M,50,20,94530
3754,M,35,12,07470
1845,F,45,7,14519
372,M,35,16,12866
5755,M,56,7,28754
4746,F,45,0,37922
5758,M,35,7,13021
747,M,45,16,98107-2117
2608,F,18,4,93117
1357,M,18,4,85013
5282,F,56,13,94566
2526,M,18,16,98502
474,M,18,4,92802
4349,F,25,11,10022
5576,F,50,0,46970
293,M,25,7,55439
3098,M,25,11,07002
5408,F,50,17,55441
5589,M,25,3,07661
210,M,25,0,45237
2850,M,25,16,21203
806,F,25,2,95123
3367,F,18,3,55016
4340,M,50,1,54016
2432,M,56,17,53705
3307,M,25,0,02135
3786,M,45,12,01603
975,M,18,17,33186
3314,M,18,4,03052
2817,F,45,1,55407
3110,F,25,0,19001
4022,M,45,0,14468
2236,M,18,5,91767
377,F,45,1,94061
3872,M,56,16,79930
5207,M,18,0,60076
2082,M,25,17,55125
5453,M,18,4,04915
498,M,18,1,10977
1123,F,45,15,44106
3795,F,1,10,29146
56,M,25,12,10458
4835,F,35,9,94587
5757,M,18,14,10023
588,M,25,12,55108
675,M,18,4,83706
5840,F,18,4,84321
2984,F,35,2,55117
233,M,18,4,53706
4133,F,18,4,53715
414,M,25,7,92123
1966,M,35,12,97333
5928,M,25,17,20194
5769,M,25,12,94115
1743,M,35,17,55432
5770,M,35,1,90048
2852,F,1,10,25801
4972,M,45,17,90620
2502,M,25,16,53714
5573,F,18,4,01609
2322,M,18,20,80218
4839,M,35,14,92075
144,M,45,13,52761
5911,M,18,4,22903
3787,M,35,14,95822
4836,F,25,4,55113
2660,M,25,12,22903
5637,F,25,0,94063
3183,M,25,1,55116
1262,M,25,17,28262
1684,F,18,4,14850
396,M,25,7,11215
5915,M,35,1,94518
5595,M,35,20,90291
5161,M,25,15,55455
1575,M,18,10,04576
1539,M,45,1,43210
2881,M,25,3,55455
3211,M,25,20,55408
3927,F,45,20,37919-4204
5117,M,35,7,39652
368,M,25,0,98153
3874,M,25,5,55126
2039,M,25,6,46835
1002,F,50,7,90291
3463,M,18,19,94618
2201,M,50,17,55113
3945,M,35,20,55121
1293,F,18,4,53706
5151,M,25,16,11576
3012,M,50,7,19072
