user,gender,age,occupation,zip_code,categories,n_interactions,all_categories
3876,F,1,10,48067,18	11	,51.0,18	11
2316,M,56,16,70072,1	22	,114.0,1	22
4135,M,25,15,55117,1	17	,44.0,1	17
5756,M,45,7,02460,1	0	,0.0,1	0
1906,M,25,20,55455,1	21	,141.0,1	21
3364,F,50,9,55117,18	7	,67.0,18	7
4943,M,35,1,06810,1	5	,30.0,1	5
2046,M,25,12,11413,1	19	,130.0,1	19
2656,M,25,17,61614,1	4	,96.0,1	4
421,F,35,1,95370,18	5	,387.0,18	5
2593,F,25,1,04093,18	5	,98.0,18	5
5635,M,25,12,32793,1	19	,0.0,1	19
2602,M,45,1,93304,1	5	,98.0,1	5
5841,M,35,0,60126,1	2	,0.0,1	2
1603,M,25,7,22903,1	0	,165.0,1	0
5590,F,35,0,20670,18	2	,0.0,18	2
1287,M,50,1,95350,1	5	,200.0,1	5
1014,F,18,3,95825,18	15	,243.0,18	15
1182,M,1,10,48073,1	11	,212.0,1	11
5452,M,25,14,55113,1	12	,0.0,1	12
5961,M,18,16,99353,1	22	,0.0,1	22
1203,M,18,15,53706,1	17	,210.0,1	17
1030,M,35,0,90049,1	2	,239.0,1	2
2085,F,25,7,10023,18	0	,128.0,18	0
3251,M,18,4,01609,1	6	,70.0,1	6
833,M,25,7,23112,1	0	,275.0,1	0
3634,M,25,11,19130,1	16	,59.0,1	16
2639,F,25,1,14607,18	5	,96.0,18	5
2792,M,35,7,33407,1	0	,90.0,1	0
4600,F,35,7,19143,18	0	,34.0,18	0
2460,M,56,7,06840,1	0	,106.0,1	0
4267,F,25,0,19355,18	2	,41.0,18	2
619,M,45,3,55421,1	15	,322.0,1	15
1841,F,18,0,02135,18	2	,145.0,18	2
1576,M,45,1,02482,1	5	,168.0,1	5
560,M,25,3,94123,1	15	,341.0,1	15
4329,F,25,9,66212,18	7	,40.0,18	7
2775,F,18,4,02215,18	6	,90.0,18	6
4091,M,18,4,61820,1	6	,45.0,1	6
3131,M,45,0,10543,1	2	,75.0,1	2
5891,F,18,4,15116,18	6	,0.0,18	6
1121,M,25,8,24502,1	10	,222.0,1	10
5504,M,25,12,60614,1	19	,0.0,1	19
1664,M,45,17,98052,1	4	,159.0,1	4
1387,F,45,16,94110,18	22	,190.0,18	22
4821,M,18,19,75602,1	13	,31.0,1	13
5633,M,18,4,94305,1	6	,0.0,1	6
279,M,25,4,92107,1	6	,468.0,1	6
2583,M,18,12,77084,1	19	,99.0,1	19
4702,F,25,2,98133,18	20	,33.0,18	20
4489,F,1,10,10562,18	11	,36.0,18	11
3405,M,18,4,72212,1	6	,66.0,1	6
112,M,25,0,96931,1	2	,649.0,1	2
4490,M,50,1,56723,1	5	,36.0,1	5
5296,F,35,12,55303,18	19	,24.0,18	19
3695,M,35,20,60440,1	21	,57.0,1	21
4402,M,18,19,30350,1	13	,38.0,1	13
395,M,25,2,30303,1	20	,399.0,1	20
1336,F,50,1,55413,18	5	,194.0,18	5
3950,M,50,1,72118,1	5	,49.0,1	5
5281,M,25,17,95122,1	4	,25.0,1	4
302,F,35,3,98105,18	15	,450.0,18	15
3277,M,18,4,54902,1	6	,69.0,1	6
5290,M,18,1,53706,1	5	,24.0,1	5
2315,M,35,12,55803,1	19	,114.0,1	19
